match_id,date,team1,team2,toss_winner,toss_decision,winner,winner_wickets,player_of_match,venue,city,innings1_total_runs,innings2_total_runs,innings3_total_runs,innings4_total_runs,innings1_powerplay_runs,innings2_powerplay_runs,innings3_powerplay_runs,innings4_powerplay_runs,innings1_death_over_runs,innings2_death_over_runs,innings3_death_over_runs,innings4_death_over_runs,innings1_total_wickets,innings2_total_wickets,innings3_total_wickets,innings4_total_wickets,innings1_boundary_count,innings2_boundary_count,innings3_boundary_count,innings4_boundary_count,innings1_dot_ball_count,innings2_dot_ball_count,innings3_dot_ball_count,innings4_dot_ball_count
1462649,2024/12/06,Lumbini Lions,Pokhara Avengers,Lumbini Lions,bat,Pokhara Avengers,10.0,AGS Gous,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,170,176,0,0,46,80,0,0,45,12,0,0,5,0,0,0,21,25,0,0,47,34,0,0
1462650,2024/12/07,Sudur Paschim Royals,Lumbini Lions,Lumbini Lions,field,Sudur Paschim Royals,,SA Zaib,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,187,142,0,0,47,36,0,0,53,48,0,0,4,9,0,0,22,17,0,0,38,57,0,0
1462651,2024/12/07,Karnali Yaks,Biratnagar Kings,Biratnagar Kings,field,Karnali Yaks,,WG Bosisto,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,133,126,0,0,32,36,0,0,22,27,0,0,10,8,0,0,15,13,0,0,52,56,0,0
1462652,2024/12/08,Janakpur Bolts,Lumbini Lions,Lumbini Lions,field,Janakpur Bolts,,H Thaker,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,136,135,0,0,55,37,0,0,25,30,0,0,9,8,0,0,13,12,0,0,55,51,0,0
1462653,2024/12/08,Chitwan Rhinos,Sudur Paschim Royals,Chitwan Rhinos,bat,Chitwan Rhinos,,Hassan Eisakhil,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,164,131,0,0,35,48,0,0,44,17,0,0,5,10,0,0,18,17,0,0,42,47,0,0
1462654,2024/12/10,Lumbini Lions,Chitwan Rhinos,Chitwan Rhinos,field,Lumbini Lions,,RK Paudel,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,167,134,0,0,33,40,0,0,51,39,0,0,6,8,0,0,20,13,0,0,46,46,0,0
1462655,2024/12/10,Pokhara Avengers,Karnali Yaks,Pokhara Avengers,bat,Karnali Yaks,7.0,WG Bosisto,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,103,106,0,0,52,27,0,0,1,0,0,0,10,3,0,0,12,15,0,0,52,50,0,0
1462656,2024/12/11,Sudur Paschim Royals,Janakpur Bolts,Janakpur Bolts,field,Sudur Paschim Royals,,I Pandey,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,123,51,0,0,42,37,0,0,26,0,0,0,9,10,0,0,10,6,0,0,60,56,0,0
1462657,2024/12/11,Kathmandu Gurkhas,Lumbini Lions,Kathmandu Gurkhas,bat,Kathmandu Gurkhas,,Karan KC,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,103,85,0,0,23,16,0,0,29,20,0,0,10,10,0,0,9,5,0,0,62,63,0,0
1462658,2024/12/12,Biratnagar Kings,Pokhara Avengers,Biratnagar Kings,bat,,,RA Reifer,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,139,139,18,5,34,59,18,5,34,30,0,0,7,6,0,0,14,17,3,0,47,50,1,2
1462659,2024/12/12,Kathmandu Gurkhas,Janakpur Bolts,Kathmandu Gurkhas,bat,Janakpur Bolts,5.0,LN Rajbanshi,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,101,104,0,0,35,24,0,0,22,0,0,0,10,5,0,0,11,13,0,0,71,46,0,0
1462660,2024/12/13,Karnali Yaks,Lumbini Lions,Lumbini Lions,field,Karnali Yaks,,WG Bosisto,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,128,123,0,0,28,36,0,0,42,25,0,0,8,7,0,0,14,15,0,0,55,53,0,0
